SEXO;FORMA_INGRESSO;COTA2;FORMA_EVASAO2;COD_CURSO;ANO_INGRESSO;DT_EVASAO;ANO_EVASAO;PSC;Enem-L;Enem-CH;Enem-CN;Enem-M;Enem-R;EnemTotal;NotaAL1;NotaAL2;NotaC1;NotaIP;NotaAED1;CR-1P;N-MATR;N-DISC-APRV;N-DISC-APRV-1P;TX-INTEGR-DISC;TX-APROV-DISC;TX-APROV-DISC-1P;TX-APROVEIT-DISC
M;SISU;Renda;Desistente;IE08;2018;16/05/2018;2018;;482.9;523.4;580.4;648.1;780.0;602.96;0;;0;0;;0;6;0;0;0;0;0;0
M;PSC;AC;Sem Evasão;IE08;2016;;;;589.3;610.9;617;789.9;500.0;621.42;0.37;;0.77;3.87;;2.27;6;0;0;0;0;0;0
M;PSC;Renda;Desistente;IE08;2015;04/07/2018;2018;;494.4;554.2;470.3;422.9;440.0;476.36;4.6;;0;1.55;;1.068571429;7;0;0;0;0;0;0
M;PSC;AC;Formado;IE08;2015;21/02/2019;2019;;650.5;665.9;617.5;822.4;600.0;671.26;7;9.57;7.94;9.33;9.71;8.871;58;48;5;0.979591837;0.827586207;0.833333333;0.979591837
M;SISU;AC;Desistente;IE08;2013;28/02/2016;2016;;586.6;699.6;616.6;697;780.0;675.96;5;0.17;5.17;5.02;0;2.893636364;13;6;5;0.12244898;0.461538462;0.833333333;0.081632653
M;PSC;IndepRenda;Sem Evasão;IE08;2016;;;;597.1;651.1;486.3;501.7;640.0;575.24;0.07;;0.04;5.87;6.71;3.144615385;48;26;1;0.530612245;0.541666667;0.166666667;0.707482993
M;SISU;AC;Desistente;IE08;2015;15/02/2018;2018;;627.9;619.4;614;676.8;860.0;679.62;6;0;0;7.57;2.84;5.202727273;39;11;4;0.224489796;0.282051282;0.666666667;0.224489796
M;PSC;AC;Sem Evasão;IE08;2015;;;;;;;;;;6.43;0;0.63;8.23;4.41;5.540909091;58;29;4;0.591836735;0.5;0.666666667;0.591836735
M;SISU;AC;Sem Evasão;IE08;2017;;;;683.3;676.5;672.6;805.1;720.0;711.5;7.88;2.1;7.47;9.65;7.82;6.768333333;32;22;6;0.448979592;0.6875;1;0.897959184
F;PSC;AC;Sem Evasão;IE08;2017;;;;;;;;;;8.3;6.84;8.83;10;8.66;8.165833333;32;23;6;0.469387755;0.71875;1;0.93877551
M;SISU;AC;Desistente;IE08;2013;28/02/2016;2016;;;;;;;;0;;0.78;0;;0.556;5;0;0;0;0;0;0
M;PSC;Renda;Desistente;IE08;2013;27/11/2013;2013;;;;;;;;1.78;;1.22;5.05;;4.642;5;3;3;0.06122449;0.6;0.5;0.040816327
M;PSC;AC;Desistente;IE08;2013;22/12/2016;2016;;;;;;;;1.33;;1.22;5.05;0.29;3.709;30;13;3;0.265306122;0.433333333;0.5;0.176870748
M;SISU;Renda;Desistente;IE08;2014;04/07/2018;2018;;450;441.4;416;404.7;420.0;426.42;0;;0.45;0;;0.05625;15;0;0;0;0;0;0
M;PSC;AC;Formado;IE08;2014;19/01/2018;2018;;;;;;;;7.43;7;10;10;10;8.908;64;46;5;0.93877551;0.71875;0.833333333;0.751020408
F;PSC;Renda;Sem Evasão;IE08;2017;;;;;;;;;;3.65;;5;5.06;1.68;3.966363636;24;10;4;0.204081633;0.416666667;0.666666667;0.408163265
F;PSC;AC;Sem Evasão;IE08;2017;;;;;;;;;;7.88;0.89;6.4;10;8.92;6.990769231;32;25;6;0.510204082;0.78125;1;1.020408163
M;SISU;AC;Desistente;IE08;2015;02/03/2018;2018;;692.9;726.3;647.6;761.2;580.0;681.6;5.5;;1.83;0;;2.264;5;1;1;0.020408163;0.2;0.166666667;0.020408163
M;PSC;Renda;Sem Evasão;IE08;2016;;;;570.8;603.1;480.7;664.5;480.0;559.82;0;;0;0;;1.025;6;0;0;0;0;0;0
M;SISU;IndepRenda;Desistente;IE08;2014;19/07/2017;2017;;560.1;637.4;545.2;556;980.0;655.74;0;;0.45;0;;0.228;5;0;0;0;0;0;0
M;SISU;AC;Desistente;IE08;2015;04/07/2018;2018;;623.3;639.8;619.4;728;780.0;678.1;0;;0;0;;0;5;0;0;0;0;0;0
M;SISU;AC;Sem Evasão;IE08;2017;;;;679.2;637.1;635.1;716.4;800.0;693.56;7.57;1.56;9;8.25;9.1;6.880833333;30;19;6;0.387755102;0.633333333;1;0.775510204
M;SISU;IndepRenda;Sem Evasão;IE08;2016;;;;608.3;646.8;593.7;650.6;740.0;647.88;2.44;;5.24;7.8;6.55;5.851818182;42;28;5;0.571428571;0.666666667;0.833333333;0.761904762
M;PSC;AC;Sem Evasão;IE08;2016;;;;567.6;679.3;637.1;812.5;560.0;651.3;6.84;1.85;5.08;8.97;9.1;6.415;45;36;6;0.734693878;0.8;1;0.979591837
M;PSC;Renda;Sem Evasão;IE08;2017;;;;;;;;;;4.7;;6.9;6.78;5.58;5.404166667;31;16;4;0.326530612;0.516129032;0.666666667;0.653061224
M;SISU;AC;Sem Evasão;IE08;2014;;;;664.4;733.4;709.3;737.2;640.0;696.86;5.33;1.33;5.8;7.56;0.13;3.802;58;33;5;0.673469388;0.568965517;0.833333333;0.53877551
M;PSC;AC;Desistente;IE08;2015;04/07/2018;2018;;428.2;541.7;559.5;451.8;600.0;516.24;1;;0;0;;0.334;5;0;0;0;0;0;0
