ANO_INGRESSO;CURSO;SEXO;PSELETIVO;COTAORIG;COTA;Enem-L;Enem-CH;Enem-CN;Enem-M;Enem-R;EnemTotal;CR-1P;N-DISC-APRV;TX-APROVEIT;1A-OPÇÃO;ACOLHIMENTO;GRAD-PREV;TIPO-EM;MODAL-EM;CONCLUSÃO-EM;INGLÊS;LING-PROG;DESLOCAMENTO-MODAL;TEMPO-DESLOC;INTERNET;COMPUTADOR-TER;COMPUTADOR-USO;PAIS-FORMAÇÃO;MORADIA-PROPRIA;RENDA-CONTRIBUI;MORADIA-QTOS;RENDA-TOTAL1;RENDA-TOTAL2;TRABALHO;ESTADO-CIVIL;FILHOS;RELIGIAO-TIPO;RELIGIAO-FE;RELIGIAO-FREQ;CONVERSA;LAZER-FREQ
2018;FT05;M;PSC;PPI1;Renda;;;;;;;2.070;0;0.0000;Sim;Não;Não;pública;tradicional;1;3;Não;Ônibus;<1h;Não;Sim;Compartilhado;1;Própria;Outros;4;<1.5 SM;1;Não;Solteiro;Não;Sim;2;4;2;4
2018;IE17;F;SISU;AC;AC;614.2;664.5;591.5;688.1;780.0;667.7;8.286;10;0.9091;Sim;Não;Não;pública;técnico;1;4;Sim;Ônibus;1h-2h;Sim;Sim;Exclusivo;0;Própria;Pai;4;<1.5 SM;1;Não;Solteiro;Não;Não;0;0;3;3
2018;IE17;M;SISU;PPI2;NRenda;625.7;586.1;573.2;760.5;600.0;629.1;5.877;7;0.6364;Sim;Não;Não;pública;tradicional;2;3;Sim;Ônibus;1h-2h;Sim;Sim;Compartilhado;1;Própria;Eu;3;1.5 a 3 SM;2;Tempo integral;Solteiro;Não;Sim;2;0;3;4
2018;FT05;M;PSC;PPI2;NRenda;604.7;714.3;574.4;702;800.0;679.1;5.377;9;0.7627;Sim;Não;Não;pública;tradicional;1;3;Sim;Ônibus;>2h;Sim;Sim;Compartilhado;1;Própria;Mãe;4;1.5 a 3 SM;2;Não;Solteiro;Não;Não;1;1;2;4
2018;FT05;M;PSC;AC;AC;581.2;661;644.2;780.7;760.0;685.4;7.002;12;10.169;Sim;Não;Não;privada;técnico;1;3;Sim;Ônibus;1h-2h;Sim;Sim;Exclusivo;0;Própria;Mãe;6;1.5 a 3 SM;2;Não;Solteiro;Não;Sim;2;0;0;5
2018;IE17;M;SISU;PPI1;Renda;550;661.8;581.4;700.6;540.0;606.8;7.160;8;0.7273;Sim;Não;Sim;pública;tradicional;5;3;Não;Ônibus;<1h;Sim;Sim;Exclusivo;2;Própria;Outros;4;<1.5 SM;1;Não;Solteiro;Não;Sim;;0;3;5
2018;FT05;M;SISU;AC;AC;582.3;660;617.9;673.6;840.0;674.8;5.953;10;0.8475;Sim;Não;Não;pública;tradicional;1;3;Não;Ônibus;1h-2h;Não;Sim;Compartilhado;0;Alugada;Mãe;5;1.5 a 3 SM;2;Não;Solteiro;Não;Sim;2;4;2;2
2018;FT05;M;PSC;AC;AC;587.5;603.3;520.3;743.5;660.0;622.9;4.746;9;0.7627;Sim;Não;Não;privada;tradicional;1;3;Não;Ônibus;<1h;Sim;Sim;Exclusivo;2;Alugada;Pai;5;4.5 a 6 SM;4;Não;Solteiro;Não;Sim;3;4;3;5
2018;IE17;M;PSC;AC;AC;;;;;;;7.066;9;0.8182;Sim;Não;Não;privada;tradicional;1;3;Não;Ônibus;<1h;Sim;Sim;Compartilhado;0;Própria;Pai;5;1.5 a 3 SM;2;Não;Solteiro;Não;Sim;4;;3;3
2018;IE17;M;SISU;AC;AC;593.8;640.6;636.2;726.7;740.0;667.5;6.009;0;0.0000;Sim;Não;Sim;privada;tradicional;3;3;Sim;Ônibus;1h-2h;Sim;Sim;Compartilhado;0;Própria;Mãe;6;1.5 a 3 SM;2;Tempo integral;Solteiro;Não;Sim;;0;3;2
